"Having trouble breathing, feels like my airways are closing.",emergent
"A pregnant woman is experiencing heavy, bright red bleeding.",emergent
"Just a minor scratch on my arm.",routine
"My hand is swollen and painful after a bee sting.",moderate
"Experiencing sudden, severe weakness in my legs.",urgent
"A small rash on my arm, not itchy or spreading.",routine
"My stomach is upset, and I have some mild diarrhea.",routine
"Having difficulty sleeping due to persistent anxiety.",moderate
"Sudden, severe pain in my side, accompanied by fever.",urgent
"My vision has completely blurred in one eye.",emergent
"Just a small blister on my heel from walking.",routine
"My shoulder is stiff and sore, hard to move.",moderate
"Experiencing severe and persistent headaches.",urgent
"A child has a persistent cough and difficulty breathing.",emergent
"Just a minor sunburn on my shoulders.",routine
"My nose is stuffy, and I have a slight head cold.",routine
"Experiencing persistent fatigue and muscle weakness.",moderate
"Sudden, severe leg pain and swelling.",urgent
"My chest feels tight, and I'm short of breath.",emergent
"Just a bit of a cough, no fever.",routine
"My tooth is sensitive to cold, but no constant pain.",routine
"My ankle is swollen and bruised after a fall.",moderate
"Woke up with a very stiff neck and shoulder pain.",moderate
"Experiencing sudden, intense dizziness and nausea.",emergent
"Just a small cut on my leg, barely noticeable.",routine
"My stomach is cramping badly, and I have diarrhea.",urgent
"My eye is red and painful, with blurry vision.",urgent
"A child has a very high fever and is lethargic.",emergent
"Just a mild sore throat, no fever.",routine
"My knee is aching after a long walk.",routine
"Experiencing persistent heartburn that won't go away.",moderate
"Sudden, severe back pain that radiates down my leg.",urgent
"My arm is numb and weak, can't lift it.",emergent
"Just a minor headache, easily managed with pain relievers.",routine
"My joints are cracking and popping a lot.",routine
"Developed a small, itchy rash on my arm.",routine
"My foot is throbbing, and I can see a red streak.",moderate
"Experiencing sudden, excruciating pain in my head, le mal de tête.",emergent
"A small burn on my finger, just red.",routine
"My throat is really sore, and it hurts to swallow.",moderate
"Having trouble concentrating and feel very sluggish.",moderate
"Sudden, severe pain in my abdomen, doubled over.",emergent
"A child has a persistent, barking cough.",urgent
"Just a bit of indigestion, nothing serious.",routine
"My hand is swollen and painful after a minor injury.",moderate
"Experiencing numbness and tingling in both arms.",moderate
"Developed a new, firm lump in my groin.",urgent
"My elderly neighbour is confused and has a high fever.",emergent
"Just a minor skin irritation, a little red.",routine
"My ear is ringing constantly, very distracting.",moderate
"Got a splinter that's causing throbbing pain.",urgent
"A pregnant woman is having persistent, painful contractions.",emergent
"Just a cough, no other symptoms, it's just a cough.",routine
"My shoulder is stiff and painful, limited range of motion.",moderate
"Experiencing sudden, severe chest pain and breathlessness.",emergent
"A small cut on my finger, just a drop of blood.",routine
"My stomach feels bloated and I'm very nauseous.",moderate
"Having trouble speaking, can't get the words out.",emergent
"My joints are aching, and I feel feverish.",moderate
"Developed a new, changing mole that's itchy.",urgent
"Experiencing severe abdominal pain and bleeding.",emergent
"Just a bit of general malaise, feeling tired.",routine
"My knee is swollen and very painful, can't put weight on it.",urgent
"Having trouble seeing clearly, blurry vision.",moderate
"A child has a high fever and a rash all over their body.",emergent
"Just a minor bruise on my leg, no pain.",routine
"My back has a constant dull ache, making it hard to sit.",moderate
"Experiencing sudden, intense pain in my chest, feeling crushed.",emergent
"Got a deep cut that's bleeding a lot.",urgent
"Just a bit hoarse, lost my voice slightly.",routine
"My tooth is throbbing, keeping me awake at night.",urgent
"My ankle is swollen and discoloured after a bad twist.",emergent
"Woke up with a stiff neck, can't turn my head fully.",routine
"Experiencing severe dizziness and balance problems.",emergent
"Just a small scrape on my elbow, no big deal.",routine
"My foot is swollen and very painful, can't walk.",urgent
"Having trouble swallowing, feels like my throat is closing.",emergent
"A small, red spot on my arm, not bothering me.",routine
"My stomach is upset, and I have mild nausea.",routine
"Experiencing persistent headaches with visual disturbances.",moderate
"Sudden, severe pain in my side, radiating to my groin.",emergent
"My child has a very high fever and is having seizures.",emergent
"Just a bit tired and lethargic, not feeling great.",routine
"My joints are swollen and painful, making movement difficult.",moderate
"Developed a new, rapidly growing lump on my chest.",urgent
"Experiencing sudden blindness in one eye.",emergent
"Just a tiny scratch on my finger, insignificant.",routine
"My hand is swollen and throbbing after a minor injury.",moderate
"Having trouble breathing, gasping for air.",emergent
"A small superficial burn on my leg, not painful.",routine
"Can't stop throwing up, and I'm losing weight rapidly.",urgent
"My throat is very sore and swollen, hard to breathe.",urgent
"Persistent ringing in my ears, causing dizziness.",moderate
"Experiencing numbness and weakness in my entire body.",emergent
"Just a mild headache, easily relieved.",routine
"Sudden, sharp pain in my chest when I move.",urgent
"My elderly parent is having trouble speaking and is drooling.",emergent
"Just a minor toothache, manageable.",routine
"My foot is swollen and purple after a severe sprain.",urgent
"Having severe dizzy spells, falling down frequently.",emergent
"A small cut on my finger, barely bleeding.",routine
"My vision is blurry and I'm seeing spots.",moderate
"Experiencing severe chest pain that's crushing.",emergent
"My child has a high fever and is refusing to eat or drink.",urgent
"Just a dry cough, no other symptoms.",routine
"My back is aching constantly, making it hard to sleep.",moderate
"A new, dark mole that's bleeding.",emergent
"Sudden, severe abdominal pain and vomiting.",urgent
